Date,Time,Price
2025-01-01,12:00:00,111.15
2025-01-01,12:10:00,293.21
2025-01-01,12:20:00,330.62
2025-01-01,12:30:00,474.26
2025-01-01,12:40:00,276.25
2025-01-01,12:50:00,424.45
2025-01-01,13:00:00,122.73
2025-01-01,13:10:00,162.41
2025-01-01,13:20:00,242.55
2025-01-01,13:30:00,439.58
2025-01-01,13:40:00,394.43
2025-01-01,13:50:00,244.37
2025-01-01,14:00:00,87.27
2025-01-01,14:10:00,113.76
2025-01-01,14:20:00,355.41
2025-01-01,14:30:00,440.35
2025-01-01,14:40:00,253.8
2025-01-01,14:50:00,208.64
2025-01-01,15:00:00,56.86
2025-01-01,15:10:00,324.59
2025-01-01,15:20:00,37.22
2025-01-01,15:30:00,34.89
2025-01-01,15:40:00,359.49
2025-01-01,15:50:00,190.29
2025-01-01,16:00:00,71.15
2025-01-01,16:10:00,196.94
2025-01-01,16:20:00,198.11
2025-01-01,16:30:00,358.12
2025-01-01,16:40:00,300.37
2025-01-01,16:50:00,197.69
2025-01-01,17:00:00,289.67
2025-01-01,17:10:00,207.41
2025-01-01,17:20:00,424.87
2025-01-01,17:30:00,128.66
2025-01-01,17:40:00,366.82
2025-01-01,17:50:00,296.32
2025-01-01,18:00:00,436.04
2025-01-01,18:10:00,420.37
2025-01-01,18:20:00,54.32
2025-01-01,18:30:00,291.69
2025-01-01,18:40:00,440.53
2025-01-01,18:50:00,261.52
2025-01-01,19:00:00,463.77
2025-01-01,19:10:00,281.75
2025-01-01,19:20:00,119.87
2025-01-01,19:30:00,129.62
2025-01-01,19:40:00,180.6
2025-01-01,19:50:00,470.82
2025-01-01,20:00:00,124.54
2025-01-01,20:10:00,378.53
